Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
6457,Lynbrook Surgery Center,DTC,Diagnostic and Treatment Center,10/11/2002,"444 Merrick Road, 4th Floor",,Lynbrook,New York,11563,5162562102,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2907201R,"Lynbrook SC, LLC",444 Merrick Road,,Lynbrook,New York,11563,,,,,New York,,LLC,,,
6981,AMS of Oswego Health,HOSP-EC,Hospital Extension Clinic,05/31/2007,98 North Second Street,,Fulton,New York,13069,3155936670,,,37,Oswego,3,Central New York Regional Office,Oswego Hospital,727,3702000H,Oswego Hospital Inc,110 West Sixth Street,,Oswego,New York,13126,,,,,New York,,Not for Profit Corporation,43.3269,-76.416893,"(43.3269, -76.416893)"
7023,Oswego Hosp/Mexico Family Health Center,HOSP-EC,Hospital Extension Clinic,06/19/1996,5856 Scenic Avenue,,Mexico,New York,13114,,,,37,Oswego,3,Central New York Regional Office,Oswego Hospital,727,3702000H,Oswego Hospital Inc,110 West Sixth Street,,Oswego,New York,13126,,,,,New York,,Not for Profit Corporation,43.471275,-76.232803,"(43.471275, -76.232803)"
7561,"New York Renal Associates, Inc",DTC,Diagnostic and Treatment Center,03/20/1998,3468 Park Avenue,,Bronx,New York,10468,7184012836,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7000250R,"New York Renal Associates, Inc",3468 Park Avenue,,Bronx,New York,10468,,,,,New York,,Business Corporation,40.830688,-73.908607,"(40.830688, -73.908607)"
7592,University Dialysis Center@Auburn,DTC-EC,Diagnostic and Treatment Center Extension Clinic,05/22/1998,21 Nelson Street,,Auburn,New York,13021,,,,5,Cayuga,3,Central New York Regional Office,University Dialysis Center,4548,3301213R,"Dialysis Clinic, Inc","1633 Church Street, Suite 500",,Nashville,New York,37203,,,,,New York,,Not for Profit Corporation,42.937199,-76.562523,"(42.937199, -76.562523)"
7751,Gladys Brooks Sports Rehab Center,HOSP-EC,Hospital Extension Clinic,04/15/1999,46520 North Road,,Southold,New York,11971,,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Stony Brook University Hospital,245,5151001H,State University of New York,178-50 Linden Blvd,,Jamaica,New York,11434,,,,,New York,,State,41.073666,-72.427689,"(41.073666, -72.427689)"
8520,Hauppauge Dialysis Center,DTC,Diagnostic and Treatment Center,07/17/2007,30 Central Avenue,,Hauppauge,New York,11788,6317616605,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5154214R,"Hauppauge Dialysis Center, LLC",30 Central Avenue,,Hauppauge,New York,11788,,,,,New York,,LLC,40.807152,-73.22007,"(40.807152, -73.22007)"
9287,Carthage Middle School,,School Based Primary Care Hospital - Critical Access Extension Clinic,09/08/2008,21986 Cole Road,,Carthage,New York,13619,3154931000,,,22,Jefferson,3,Central New York Regional Office,Carthage Area Hospital Inc,379,2238700C,Carthage Area Hospital Inc,West Street Rd,,Carthage,New York,13619,,,,,New York,,Not for Profit Corporation,43.988304,-75.644897,"(43.988304, -75.644897)"
9422,The Chautauqua Center,DTC,Diagnostic and Treatment Center,01/22/2013,75 East Third Street,,Dunkirk,New York,14048,7163636050,,,6,Chautauqua,1,Western Regional Office - Buffalo,,,0601200R,"The Chautauqua Center, Inc.",319 Central Avenue,,Dunkirk,New York,14048,,,,,New York,,Not for Profit Corporation,,,
9598,Newark Wayne Dialysis Center,DTC,Diagnostic and Treatment Center,10/30/2013,1120 South Main Street,,Newark,New York,14513,3154147002,,,58,Wayne,2,Western Regional Office - Rochester,,,5820200R,"Enchanted Dialysis, LLC",1120 South Main Street,,Newark,New York,14513,,,,,New York,,LLC,43.033562,-77.096756,"(43.033562, -77.096756)"
9655,PEDS-ECMC Clinical Therapy Services,HOSP-EC,Hospital Extension Clinic,04/07/2014,4242 Ridge Lea Road,,Amherst,New York,14226,,,,14,Erie,1,Western Regional Office - Buffalo,Erie County Medical Center,210,1401005H,Erie County Medical Center Corporation,462 Grider Street,,Buffalo,New York,14215,,,,,New York,,Public Benefit Corporation,42.996326,-78.812805,"(42.996326, -78.812805)"
10053,East Islip Dialysis,DTC,Diagnostic and Treatment Center,07/01/2017,200 Carleton Avenue,,East Islip,New York,11730,,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5154213R,"True North II DC, LLC",200 Carleton Avenue,,East Islip,New York,11730,,,,,New York,,LLC,40.740743,-73.193226,"(40.740743, -73.193226)"
10130,Wyckoff Doctors at Myrtle,HOSP-EC,Hospital Extension Clinic,03/26/2018,1419 Myrtle Avenue,,Brooklyn,New York,11206,,,,7095,Kings,5,Metropolitan Area Regional Office - New York City,Wyckoff Heights Medical Center,1318,7001035H,Wyckoff Heights Medical Center,374 Stockholm St,,Brooklyn,New York,11237,,,,,New York,,Not for Profit Corporation,40.69873,-73.919785,"(40.69873, -73.919785)"
10234,Sandford Boulevard Dialysis,DTC-EC,Diagnostic and Treatment Center Extension Clinic,10/25/2018,120 East Sandford Boulevard,,Mount Vernon,New York,10550,,,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,Bronx Dialysis Center,6661,7000272R,"Knickerbocker Dialysis, Inc",1615-1617 Eastchester Road,,Bronx,New York,10461,,,,,New York,,Business Corporation,40.900517,-73.827358,"(40.900517, -73.827358)"
12529,Visiting Nurses Home Care,LHCSA,Licensed Home Care Services Agency,09/29/2003,28 Colvin Avenue,,Albany,New York,12206,5189435530,5189436014,www.vnhc.com,1,Albany,4,Capital District Regional Office,,,0313L006,Visiting Nurse Association Of Albany Home Care Corporation,35 Colvin Avenue,,Albany,New York,12206-1103,,,,,New York,,Business Corporation,,,
12636,Option Care,LHCSA,Licensed Home Care Services Agency,02/23/2018,90 State Street,Suite 729,Albany,New York,12207,5184070029,7189392012,,1,Albany,4,Capital District Regional Office,,,0796L003,"Trinity Homecare, L.L.C.",114-02 15th Avenue,,College Point,New York,11356,,,,,New York,,LLC,42.649618,-73.753316,"(42.649618, -73.753316)"
12702,Caregivers,LHCSA,Licensed Home Care Services Agency,07/28/2000,2359 N. Triphammer Road,,Ithaca,New York,14850,6072750238,6072750816,www.caregivershomecare.com,54,Tompkins,6,Metropolitan Area Regional Office - New Rochelle,,,0960L004,"Homemakers Of Western New York, Inc.",2465 Sheridan Dr,,Tonawanda,New York,14150,,,,,New York,,Business Corporation,,,
12811,At Your Side Home Care Services,LHCSA,Licensed Home Care Services Agency,12/20/2007,100-04 Ditmars Boulevard,,East Elmhurst,New York,11369,7184467900,7184467938,,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,1214L001,"Universal Health Care, Llc",100-04 Ditmars Boulevard,,East Elmhurst,New York,11369,,,,,New York,,LLC,40.769845,-73.870517,"(40.769845, -73.870517)"
12830,"At Home Solutions, LLC",LHCSA,Licensed Home Care Services Agency,03/26/2006,97-77 Queens Boulevard,Suite 602,Rego Park,New York,11374,7184416802,7184416804,,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,1279L001,"At Home Solutions, LLC",97-77 Queens Boulevard,Suite 602,Rego Park,New York,11374,,,,,New York,,LLC,,,
12944,Elder Care Homecare Inc.,LHCSA,Licensed Home Care Services Agency,02/20/2009,111 Brook Street,2nd Floor,Scarsdale,New York,10583,9142200336,5169606895,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,1539L001,Elder Care Homecare Inc.,111 Brook Street,2nd Floor,Scarsdale,New York,10583,,,,,New York,,Business Corporation,,,
12995,"At Home Independent Care, Inc.",LHCSA,Licensed Home Care Services Agency,12/31/2009,1607 Genesee Street,,Utica,New York,13501,3157974642,3157974747,,32,Oneida,3,Central New York Regional Office,,,1611L001,"At Home Independent Care, Inc.",131 Genesee Street,Po Box 210,Utica,New York,13503,,,,,New York,,Not for Profit Corporation,,,
13049,Greater New York Nursing Services,LHCSA,Licensed Home Care Services Agency,06/27/2016,45 Knollwood Road,Suite 102,Elmsford,New York,10523,9145102273,9145102200,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,1684L002,"Greater New York Home Care, Llc",45 Knollwood Road,Suite 102,Elmsford,New York,10523,,,,,New York,,LLC,,,
13385,Home Care Solutions,LHCSA,Licensed Home Care Services Agency,09/02/2016,18 Bay View Road,,Southampton,New York,11968,6317233267,8007167527,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,2234L001,Optimum Home Care Llc,18 Bay View Road,,Southampton,New York,11968,,,,,New York,,LLC,40.967818,-72.38438,"(40.967818, -72.38438)"
14700,Eden Heights,AH,Adult Home,08/15/1990,4071 Hardt Road,,Eden,New York,14057,7169924466,7169929078,www.eden heights.com#http://www.eden heights.com#,14,Erie,1,Western Regional Office - Buffalo,,,240-F-900,"Eden Heights of Eden Operating, LLC","245 Park Avenue, Suite 3913",,New York,New York,10167,,,,,New York,,LLC,42.666701,-78.833111,"(42.666701, -78.833111)"
14732,The Mohawk Homestead,AH,Adult Home,06/01/1991,62 East Main Street,,Mohawk,New York,13407,3158661841,3158660603,,21,Herkimer,3,Central New York Regional Office,,,320-E-005,The Mohawk Homestead,62 East Main Street,,Mohawk,New York,13407,,,,,New York,,Not for Profit Corporation,43.012351,-74.999532,"(43.012351, -74.999532)"
14783,Elderwood Village at Greece,AH,Adult Home,02/28/1983,1404 Long Pond Road,,Rochester,New York,14626,5852257210,5852256411,"www.elderwood,com#http://www.elderwood,com/#",27,Monroe,1,Western Regional Office - Buffalo,,,370-F-248,"1404 Long Pond Road Operating Company, LLC",1404 Long Pond Rd,,Rochester,New York,14626-3732,,,,,New York,,LLC,43.200206,-77.697494,"(43.200206, -77.697494)"
14852,The 80th Street Residence,AH,Adult Home,04/17/2000,430 East 80th Street,,New York,New York,10075,2127178888,2125853544,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,420-F-379,"Upper East Side Senior Residence, LLC",430 East 80th Street,,New York,New York,10021-1004,,,,,New York,,LLC,40.772161,-73.95069,"(40.772161, -73.95069)"
14872,Mount View Assisted Living,AH,Adult Home,08/21/2015,5465 Upper Mountain Road,,Lockport,New York,14094,7164330790,7169570324,,31,Niagara,1,Western Regional Office - Buffalo,,,500-F-105,"Mount View Assisted Living, Inc.",5465 Upper Mountain Road,,Lockport,New York,14094,,,,,New York,,Business Corporation,43.174129,-78.740523,"(43.174129, -78.740523)"
14982,The Sentinel of Rockland,AH,Adult Home,06/11/1985,200 Rella Blvd,,Montebello,New York,10901,8452034500,8452034515,www.sentinelalf.com,43,Rockland,5,Metropolitan Area Regional Office - New York City,,,620-F-103,"The Sentinel of Rockland, LLC",200 Rella Blvd.,,Montebello,New York,10901,,,,,New York,,LLC,,,
6850,Open Door Family Medical Center Inc,DTC-EC,Diagnostic and Treatment Center Extension Clinic,11/21/2005,30 West Main Street,,Mt Kisco,New York,10543,9146663272,9146663287,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,"Open Door Family Medical Center, Inc",1084,5905200R,"Ossining Open Door Associates, Inc.",165 Main Street,,Ossining,New York,10562,,,,,New York,,Not for Profit Corporation,41.209404,-73.729759,"(41.209404, -73.729759)"
1219,Workmen's Circle Multicare Center,NH,Residential Health Care Facility - SNF,01/01/1901,3155 Grace Avenue,,Bronx,New York,10469,7183798100,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7000390N,"JOPAL BRONX, LLC",3155 Grace Avenue,,Bronx,New York,10469,,,,,New York,,LLC,40.87442,-73.837212,"(40.87442, -73.837212)"
123,Chemung County Health Center-Nursing Facility,NH,Residential Health Care Facility - SNF,01/01/1901,103 Washington Street,,Elmira,New York,14901,6077372001,,,7,Chemung,2,Western Regional Office - Rochester,,,0701301N,County of Chemung,255 Lake Street,,Elmira,New York,14901,,,,,New York,,County,42.093357,-76.796593,"(42.093357, -76.796593)"
14611,Manor Hills,AH,Adult Home,03/28/1990,4192-B Bolivar Road,,Wellsville,New York,14895,5855939800,5855934605,,2,Allegany,1,Western Regional Office - Buffalo,,,010-F-017,Manor Hills Inc.,4192B Bolivar Rd,,Wellsville,New York,14895-9325,,,,,New York,,Business Corporation,42.128794,-77.965971,"(42.128794, -77.965971)"
15055,Sunrise of East Setauket,AH,Adult Home,12/31/2010,1 Sunrise Drive,,East Setauket,New York,11733,6319414455,6319414455,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-F-926,"GWC - East Setauket, Inc.",1 Sunrise Drive,,East Setauket,New York,11733,,,,,New York,,Business Corporation,40.935069,-73.109039,"(40.935069, -73.109039)"
14897,Brookdale East Side,AH,Adult Home,02/28/1983,7164 East Genesee Street,,Fayetteville,New York,13066,3156375127,3156371429,www.Emeritus.com#http://www.Emeritus.com#,33,Onondaga,3,Central New York Regional Office,,,520-F-164,"Painted Post, LLC",120 Creekside Drive,,Painted Post,New York,14870-9221,,,,,New York,,LLC,43.025967,-76.026651,"(43.025967, -76.026651)"
6901,Harvey Austin School #97,HOSP-SB,School Based Hospital Extension Clinic,09/19/2005,1405 Sycamore Street,,Buffalo,New York,14211,7164476475,,,14,Erie,1,Western Regional Office - Buffalo,Sisters of Charity Hospital,218,1401013H,Sisters of Charity Hospital of Buffalo New York Inc,2157 Main Street,,Buffalo,New York,14214,"Catholic Health System, Inc.",144 Genesee Street,,Buffalo,New York,14203,Not for Profit Corporation,42.903786,-78.819626,"(42.903786, -78.819626)"
9426,Linden Medical Group,HOSP-EC,Hospital Extension Clinic,03/23/2012,30 Hagen Drive,,Rochester,New York,14625,5859220150,5855869108,,27,Monroe,2,Western Regional Office - Rochester,Rochester General Hospital,411,2701003H,Rochester General Hospital Inc,905 Culver Road,,Rochester,New York,14609,Rochester Regional Health,89 Genesee Street,,Rochester,New York,14611,Not for Profit Corporation,43.125015,-77.516937,"(43.125015, -77.516937)"
14666,Elizabeth Brewster House,AH,Adult Home,06/28/1977,41 South Main Street,,Homer,New York,13077,6077493061,6077495862,,11,Cortland,3,Central New York Regional Office,,,210-E-001,Elizabeth Brewster House,41 South Main Street,,Homer,New York,13077-1323,,,,,New York,,Not for Profit Corporation,42.634776,-76.17836,"(42.634776, -76.17836)"
4408,Renaissance Health Care Network,DTC,Diagnostic and Treatment Center,10/04/1990,264 West 118th Street,,New York,New York,10026,2129326522,2133161479,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002136R,New York City Health and Hospital Corporation,125 Worth Street,,New York,New York,10013,"Gotham Health FQHC, Inc.",Care of NYC Health and Hospital Corp.,125 Worth Street,New York,New York,10013,Municipality,40.805305,-73.953568,"(40.805305, -73.953568)"
5921,St. Mary's Johnstown Health Center,HOSP-EC,Hospital Extension Clinic,01/02/1996,700 South Perry Street,,Johnstown,New York,12095,,,,28,Montgomery,4,Capital District Regional Office,St. Mary's Healthcare,484,2801001H,St. Mary's Healthcare,427 Guy Park Ave,,Amsterdam,New York,12010,,,,,New York,,Not for Profit Corporation,42.996929,-74.370659,"(42.996929, -74.370659)"
14741,New South Shore Manor,AH,Adult Home,04/20/1993,1041 East 83rd Street,,Brooklyn,New York,11236,7182417035,7182417039,,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,331-F-266,George Katz Batsheva Katz David J. Deutsch,1041 East 83rd Street,,Brooklyn,New York,11236-4225,,,,,New York,,Individual,40.634675,-73.908324,"(40.634675, -73.908324)"
14925,The Sentinel of Port Jervis,AH,Adult Home,04/15/2019,2247 Greenville Turnpike,,Port Jervis,New York,12771,8458960400,8458960410,#https://www.sentinelalf.com#,35,Orange,5,Metropolitan Area Regional Office - New York City,,,540-F-040,"The Sentinel of Port Jervis, LLC",2247 Greenville Turnpike,,Port Jervis,New York,12771,,,,,New York,,LLC,41.351789,-74.680098,"(41.351789, -74.680098)"
3152,Centers Home Health Revival,CHHA,Certified Home Health Agency,08/21/2008,4770 White Plains Road,,Bronx,New York,10470,7188638000,7188638077,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7000609,"Alpine Home Health Care, LLC",4770 White Plains Road,,Bronx,New York,10470,,,,,New York,,LLC,40.905293,-73.849434,"(40.905293, -73.849434)"
9198,Eddy Village Green at Beverwyck,NH,Residential Health Care Facility - SNF,03/03/2011,40 Autumn Drive,,Slingerlands,New York,12159,5184512107,,,1,Albany,4,Capital District Regional Office,,,0151301N,"Beverwyck, Inc",40 Autumn Drive,,Slingerlands,New York,12159,Trinity Health Corporation,20555 Victor Parkway,,Livonia,New York,48152,Not for Profit Corporation,42.65839,-73.838501,"(42.65839, -73.838501)"
8592,Southside Elementary School #93,HOSP-SB,School Based Hospital Extension Clinic,06/26/2008,430 Southside Parkway,,Buffalo,New York,14210,7164476475,,,14,Erie,1,Western Regional Office - Buffalo,Sisters of Charity Hospital,218,1401013H,Sisters of Charity Hospital of Buffalo New York Inc,2157 Main Street,,Buffalo,New York,14214,"Catholic Health System, Inc.",144 Genesee Street,,Buffalo,New York,14203,Not for Profit Corporation,42.860371,-78.821693,"(42.860371, -78.821693)"
15391,HSS Pediatric Rehabilitation Outpatient Center,HOSP-EC,Hospital Extension Clinic,01/05/2023,510 East 74th Street,,New York,New York,10021,,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Hospital for Special Surgery,1447,7002012H,NY Society for the Relief of The Ruptured & Crippled,535 East 70th St,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,,,
10380,Sun River Health Patchogue,DTC-EC,Diagnostic and Treatment Center Extension Clinic,09/27/2019,501 North Ocean Avenue,,Patchogue,New York,11772,8454769359,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Sun River Health,1040,5901200R,"Sun River Health Care, Inc.",1037 Main Street,,Peekskill,New York,10566,,,,,New York,,Not for Profit Corporation,40.781343,-73.015804,"(40.781343, -73.015804)"
12746,"Accentcare Of New York, Inc.",LHCSA,Licensed Home Care Services Agency,03/01/2002,27 Main Street,,Yonkers,New York,10701,9146823988,9146824765,www.accentcare.com,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,1084L001,"Accentcare Of New York, Inc.",277 North Avenue,Suite 301,New Rochelle,New York,10801-4622,,,,,New York,,Business Corporation,40.934523,-73.899334,"(40.934523, -73.899334)"
5670,Schervier Pavilion,NH,Residential Health Care Facility - SNF,05/15/1995,22 Van Duzer Place,,Warwick,New York,10990,8459875656,,,35,Orange,6,Metropolitan Area Regional Office - New Rochelle,,,3529301N,Villa Frances at the Knolls,20 Grand Street,,Warwick,New York,10990,,,,,New York,,Not for Profit Corporation,41.262131,-74.358994,"(41.262131, -74.358994)"
4859,Samaritan Family Health Center,HOSP-EC,Hospital Extension Clinic,12/15/1993,909 Strawberry Lane,,Clayton,New York,13624,3156862094,3156862821,,22,Jefferson,3,Central New York Regional Office,Samaritan Medical Center,367,2201000H,Samaritan Medical Center,830 Washington St,,Watertown,New York,13601,,,,,New York,,Not for Profit Corporation,44.232113,-76.082619,"(44.232113, -76.082619)"
12761,"Brookville Home Care, Llc",LHCSA,Licensed Home Care Services Agency,01/27/2014,150 South Street,,Oyster Bay,New York,11771,5168027722,5168023489,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,1103L001,"Brookville Home Care, Llc",150 South Street,,Oyster Bay,New York,11771,,,,,New York,,LLC,40.870583,-73.531565,"(40.870583, -73.531565)"
7677,Project Renewal Health 45th Street Clinic,DTC-EC,Diagnostic and Treatment Center Extension Clinic,09/03/1998,225 East 45th Street,,New York,New York,10017,2126618934,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Project Renewal,7676,7002161R,Project Renewal Inc,200 Varick Street,,New York,New York,10014,,,,,New York,,Not for Profit Corporation,40.752319,-73.972,"(40.752319, -73.972)"
1658,"Absolut Center for Nursing and Rehabilitation at Three Rivers, LLC",NH,Residential Health Care Facility - SNF,02/01/1989,101 Creekside Drive,,Painted Post,New York,14870,6079364108,,,50,Steuben,2,Western Regional Office - Rochester,,,5026301N,"Absolut Center for Nursing and Rehabilitation at Three Rivers, LLC",101 Creekside Drive,,Painted Post,New York,14870,,,,,New York,,LLC,42.14476,-77.121475,"(42.14476, -77.121475)"
13151,"Five Star Home Health Care Agency, Inc.",LHCSA,Licensed Home Care Services Agency,07/10/2012,3044 Coney Island Avenue,4th Floor,Brooklyn,New York,11235,7186769977,7186769960,Fivestarhomecareny.com,7095,Kings,5,Metropolitan Area Regional Office - New York City,,,1852L001,"Five Star Home Health Care Agency, Inc.",3044 Coney Island Avenue,4th Floor,Brooklyn,New York,11235,,,,,New York,,Business Corporation,40.582136,-73.960312,"(40.582136, -73.960312)"
13028,All Metro Health Care,LHCSA,Licensed Home Care Services Agency,03/15/2015,65 Pennsylvania Avenue,Suite 220,Binghamton,New York,13903,6077779891,6077779892,www.all-metro.com,3,Broome,3,Central New York Regional Office,,,1650L012,"All Metro Home Care Services Of New York, Inc.",70 East Sunrise Highway,Suite 520,Valley Stream,New York,11581,,,,,New York,,Business Corporation,,,
12490,Unlimited Care Inc.,LHCSA,Licensed Home Care Services Agency,03/03/1989,33-10 Queens Blvd,Ste 303,Long Island City,New York,11101,7187864139,7187864754,www.unlimitedcareinc.com,7096,Queens,5,Metropolitan Area Regional Office - New York City,,,0089L002,Unlimited Care Inc.,333 Westchester Ave.,West Bldg Ste Wg02,White Plains,New York,10604-2911,,,,,New York,,Business Corporation,40.744191,-73.931303,"(40.744191, -73.931303)"
6329,The Ambulatory Surgery Center of Westchester,DTC,Diagnostic and Treatment Center,02/22/2002,34 South Bedford Road,,Mount Kisco,New York,10549,9142446789,,,59,Westchester,6,Metropolitan Area Regional Office - New Rochelle,,,5946202R,Mt Kisco Surgery Centers LLC,34 South Bedford Road,,Mt Kisco,New York,10549,,,,,New York,,LLC,41.196594,-73.722672,"(41.196594, -73.722672)"
14651,Frewsburg Rest Home,AH,Adult Home,02/28/1983,106 West Main Street,,Frewsburg,New York,14738,7164832876,7164832832,,6,Chautauqua,1,Western Regional Office - Buffalo,,,060-F-035,"Frewsburg Rest Home, Inc.",106 West Main Street,,Frewsburg,New York,14738-9631,,,,,New York,,Business Corporation,42.052964,-79.165293,"(42.052964, -79.165293)"
4449,Nathan Littauer Hosp Pri Care Clinic,HOSP-EC,Hospital Extension Clinic,06/17/1990,Medical Arts Bldg 99 E State Street,,Gloversville,New York,12078,5187258621,,,17,Fulton,4,Capital District Regional Office,Nathan Littauer Hospital,330,1701000H,Nathan Littauer Hospital Inc,99 East State Street,,Gloversville,New York,12078,,,,,New York,,Not for Profit Corporation,43.068096,-74.330643,"(43.068096, -74.330643)"
6043,Cardiopulmonary Rehab,HOSP-EC,Hospital Extension Clinic,04/29/1996,7246 Janus Park,,Liverpool,New York,13088,,,,33,Onondaga,3,Central New York Regional Office,St. Joseph's Hospital Health Center,630,3301003H,St Joseph's Hospital Health Center,301 Prospect Avenue,,Syracuse,New York,13203,"St. Joseph's Health, Inc.",301 Prospect Ave.,,Syracuse,New York,13203,Not for Profit Corporation,43.120728,-76.163551,"(43.120728, -76.163551)"
